Country;Area;Moody_rating;Rating-based_defSpread;EquityRisk_prem;CountryRisk_Premium;Sovereign_CDS;EquityRisk_prem2;CountryRisk_Premium2;rgdpe;tax_rate
Singapore;Asia;Aaa;0;0.05;0;NA;NA;NA;466788.5397;0.17
Slovakia;Eastern Europe & Russia;A2;0.009052467;0.062839249;0.012839249;0.0011;0.051560147;0.001560147;115468.804;0.21
Slovenia;Eastern Europe & Russia;A3;0.012824328;0.068188936;0.018188936;0.0028;0.053971282;0.003971282;62117.76801;0.19
Solomon Islands;Asia;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;1595.710784;0.3
South Africa;Africa;Ba2;0.032186548;0.095650664;0.045650664;0.0328;0.096520732;0.046520732;405869.7185;0.27
Spain;Western Europe;Baa1;0.017099104;0.074251915;0.024251915;0.0036;0.055105934;0.005105934;1397509.272;0.25
Sri Lanka;Asia;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;74403.57836;0.24
St. Maarten;Caribbean;Ba2;0.032186548;0.095650664;0.045650664;NA;NA;NA;11900;0.2718
St. Vincent & the Grenadines;Caribbean;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;8100;0.2718
Suriname;Central and South America;Caa3;0.106995126;0.201752792;0.151752792;NA;NA;NA;3620.655116;0.36
Swaziland;Africa;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;4854.167638;0.275
Sweden;Western Europe;Aaa;0;0.05;0;0;0.05;0;585939.1701;0.206
Switzerland;Western Europe;Aaa;0;0.05;0;0;0.05;0;807706.0354;0.18
Taiwan;Asia;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;761690;0.2
Tajikistan;Eastern Europe & Russia;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;10492.12339;0.18
Tanzania;Africa;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;75709.28906;0.3
Thailand;Asia;Baa1;0.017099104;0.074251915;0.024251915;0.0036;0.055105934;0.005105934;495340.5928;0.2
Togo;Africa;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;8126.439481;0.2281
Trinidad and Tobago;Caribbean;Ba2;0.032186548;0.095650664;0.045650664;NA;NA;NA;27899.08234;0.3
Tunisia;Africa;Caa2;0.096308186;0.186595345;0.136595345;0.0743;0.155380805;0.105380805;46664.94895;0.15
Turkey;Western Europe;B3;0.069527972;0.148612566;0.098612566;0.0462;0.115526153;0.065526153;905987.8241;0.23
Turks and Caicos Islands;Caribbean;Baa1;0.017099104;0.074251915;0.024251915;NA;NA;NA;1138.808881;0
Uganda;Africa;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;45559.20205;0.3
Ukraine;Eastern Europe & Russia;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;160502.7392;0.18
United Arab Emirates;Middle East;Aa2;0.005280606;0.057489562;0.007489562;NA;NA;NA;507534.9217;0
United Kingdom;Western Europe;Aa3;0.006412164;0.059094468;0.009094468;0;0.05;0;3070667.732;0.25
United States;North America;Aaa;0;0.05;0;0;0.05;0;25462700;0.25
Uruguay;Central and South America;Baa2;0.02036805;0.078888311;0.028888311;0.0052;0.057375238;0.007375238;71177.1462;0.25
Uzbekistan;Eastern Europe & Russia;Ba3;0.038472983;0.104566809;0.054566809;NA;NA;NA;80391.85388;0.15
Venezuela;Central and South America;C;0.175;0.298205125;0.248205125;0.1114;0.208000291;0.158000291;98400;0.34
Vietnam;Asia;Ba2;0.032186548;0.095650664;0.045650664;0.013;0.068438095;0.018438095;408802.3791;0.2
Zambia;Africa;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;29784.45406;0.35
