CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            10 Comunitat Valenciana;2022;        Menores de 25 años;Hombres;24.94;27.48;44.27;;;;;;;;
            11 Extremadura;2022;        Menores de 25 años;Hombres;20.40;37.72;37.35;;;;;;;;
            12 Galicia;2022;        Menores de 25 años;Hombres;20.82;31.78;32.45;;;;;;;;
            13 Madrid, Comunidad de;2022;        Menores de 25 años;Hombres;23.28;31.88;37.34;;;;;;;;
            14 Murcia, Región de;2022;        Menores de 25 años;Hombres;23.15;30.55;39.44;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        Menores de 25 años;Hombres;32.76;22.95;42.48;;;;;;;;
            16 País Vasco;2022;        Menores de 25 años;Hombres;23.96;25.72;32.71;;;;;;;;
            17 Rioja, La;2022;        Menores de 25 años;Hombres;28.11;24.33;36.46;;;;;;;;
            18 Ceuta;2022;        Menores de 25 años;Hombres;9.61;31.96;21.95;;;;;;;;
            19 Melilla;2022;        Menores de 25 años;Hombres;13.46;51.97;36.63;;;;;;;;
            01 Andalucía;2022;        25 y más años;Hombres;16.38;14.70;37.52;;;;;;;;
            02 Aragón;2022;        25 y más años;Hombres;26.10;6.67;40.29;;;;;;;;
            03 Asturias, Principado de;2022;        25 y más años;Hombres;13.22;10.34;29.83;;;;;;;;
            04 Balears, Illes;2022;        25 y más años;Hombres;30.26;8.54;49.26;;;;;;;;
            05 Canarias;2022;        25 y más años;Hombres;19.60;14.59;41.00;;;;;;;;
            06 Cantabria;2022;        25 y más años;Hombres;19.27;6.83;29.38;;;;;;;;
            07 Castilla y León;2022;        25 y más años;Hombres;23.67;7.25;36.44;;;;;;;;
            08 Castilla - La Mancha;2022;        25 y más años;Hombres;20.61;9.29;38.78;;;;;;;;
            09 Cataluña;2022;        25 y más años;Hombres;27.43;7.76;42.54;;;;;;;;
            10 Comunitat Valenciana;2022;        25 y más años;Hombres;23.33;10.08;42.35;;;;;;;;
            11 Extremadura;2022;        25 y más años;Hombres;20.02;12.54;39.55;;;;;;;;
            12 Galicia;2022;        25 y más años;Hombres;20.45;8.85;33.64;;;;;;;;
            13 Madrid, Comunidad de;2022;        25 y más años;Hombres;21.95;7.90;37.43;;;;;;;;
            14 Murcia, Región de;2022;        25 y más años;Hombres;24.90;9.90;43.16;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        25 y más años;Hombres;23.92;7.96;35.47;;;;;;;;
            16 País Vasco;2022;        25 y más años;Hombres;20.87;7.13;32.04;;;;;;;;
            17 Rioja, La;2022;        25 y más años;Hombres;20.55;7.79;33.77;;;;;;;;
            18 Ceuta;2022;        25 y más años;Hombres;12.53;22.90;36.94;;;;;;;;
            19 Melilla;2022;        25 y más años;Hombres;16.36;14.31;44.22;;;;;;;;
            01 Andalucía;2022;        De 16 a 19 años;Hombres;17.91;50.52;39.87;;;;;;;;
            02 Aragón;2022;        De 16 a 19 años;Hombres;25.04;23.83;39.01;;;;;;;;
            03 Asturias, Principado de;2022;        De 16 a 19 años;Hombres;16.85;83.52;29.25;;;;;;;;
            04 Balears, Illes;2022;        De 16 a 19 años;Hombres;25.55;38.30;47.89;;;;;;;;
            05 Canarias;2022;        De 16 a 19 años;Hombres;19.62;51.07;44.11;;;;;;;;
